#NearbyGene,NearbyGeneSymbol,P-value - mRNAs,Fold change - mRNAs
NM_022686,Hist1h4b,4.8e-06,2.9174762999999997
NM_173302,Slc22a24,0.003092809,2.1293015
ENSRNOT00000034599,LOC100362965,5.13e-06,2.3574551
NM_001108797,Fam117b,8.19e-06,2.0801892
NM_001304368,Cnbd2,3.46e-05,2.1136475
NM_001107661,Zc2hc1a,1.58e-05,2.5367247
NM_013110,Il7,1.02e-06,14.4216267
ENSRNOT00000060520,AABR06070618.1,3.82e-08,5.428149400000001
ENSRNOT00000044780,Arhgef5,9.68e-05,4.1493041
NM_001000847,Olr812,0.000446282,2.6592982000000003
ENSRNOT00000073010,AABR06034757.1,7.91e-06,4.1095337
NM_001107529,Prc1,0.000166729,2.9174289
NM_001108488,Fes,2.65e-05,2.0314153000000004
NM_031145,Cib1,8.64e-07,2.1775036
NM_001100735,Lpcat1,6.67e-08,4.0396424
NM_001191735,Elf4,0.000781577,2.1240777000000004
NM_001134992,Sash3,0.000196821,2.3969224
NM_001108578,Aif1l,4.33e-10,7.5760728
NM_012904,Anxa1,6.21e-08,6.029654799999999
NM_022407,Aldh1a1,8.520000000000001e-07,3.2105843
NM_001270632,Bdnf,7.04e-05,2.1136866000000003
NM_001270637,Bdnf,8.64e-06,2.5494830000000004
NM_182844,Myrip,4.73e-05,2.0722341
NM_178106,Entpd3,1.11e-09,12.0006916
NM_021679,Nxph3,4.47e-05,2.2733804
NM_001270854,Thrb,3.2200000000000003e-05,2.0289112
NM_012672,Thrb,4.23e-08,4.710589499999999
NM_147210,Nr1d2,2.8100000000000002e-05,2.2351132999999996
NM_001134901,Acpp,2.18e-08,3.6906307000000003
NM_020072,Acpp,3.44e-08,16.504349800000004
NM_001037660,Csf2ra,5.52e-06,3.0769613999999996
NM_001003402,Eml5,3.17e-05,2.3223808
ENSRNOT00000012318,AABR06018038.1,4.45e-06,3.1079187999999998
NM_001107681,Ppm1l,4.42e-06,2.6282396
NM_001107682,Nmd3,2.03e-07,3.8618763
NM_012759,Vav1,0.00023422599999999998,2.5510433
NM_001191803,Tnfsf14,7.86e-06,4.2566356
NM_181384,Tnfsf9,4.270000000000001e-05,5.0115358
ENSRNOT00000036219,Dppa3l1,8.950000000000001e-05,2.0386338
NM_001106824,Pstpip1,6.54e-10,16.9601638
NM_017132,Rcn2,1.09e-08,6.0821981
NM_012502,Ar,3.07e-06,3.091191
NM_001105811,Rilp,9.740000000000001e-07,3.1620942000000003
NM_001105812,Slc43a2,2.4e-06,2.9312787
ENSRNOT00000015907,Ankrd36,2.68e-05,3.9067456
NM_001004210,Xbp1,1.12e-07,7.3691075
NM_001271731,Xbp1,0.000264319,2.2169423
NM_001277211,Dbnl,7.730000000000001e-08,34.6736786
NM_001191821,Frmd4a,0.000114716,2.0980465
NM_017258,Btg1,1.7199999999999998e-05,3.6672037000000004
NM_017146,Mcpt10,0.004942844,6.4565352
NM_001245978,Frem2,0.000110473,2.2530514
ENSRNOT00000074478,LOC102546376,0.048858267999999996,2.1991528
ENSRNOT00000012135,LOC100361349,0.000470724,2.1002007999999996
ENSRNOT00000067346,AABR06019060.1,0.00011631200000000001,2.0322793000000003
NM_001025776,Rhox8,0.000582451,2.153307
NM_001037581,Rhox10,0.000368167,4.3359496
NM_001079896,LOC367975,3.63e-06,6.9675629
ENSRNOT00000001635,LOC100361664,6.23e-09,35.3138987
ENSRNOT00000045125,Gm10100,2.42e-09,23.587758100000002
ENSRNOT00000071454,AABR06100208.3,5.02e-05,2.1815379
ENSRNOT00000073009,AABR06100209.1,8.72e-06,2.1274745999999998
ENSRNOT00000001633,LOC100365646,0.00010507399999999999,3.9394412000000005
NM_001109586,LOC690386,4.42e-08,4.6924446
NM_001109590,LOC690415,4.27e-06,7.5846216
NM_001037581,Rhox10,0.000368167,4.3359496
NM_001079896,LOC367975,3.63e-06,6.9675629
NM_001025776,Rhox8,0.000582451,2.153307
NM_133584,Pde5a,2.04e-08,10.5665388
NM_001077590,Bves,0.009222381,3.1766422999999997
NM_012718,Andpro,0.00245614,2.152255
ENSRNOT00000014360,Helt,1.48e-07,34.0116955
ENSRNOT00000061476,AABR06058610.1,0.000120913,2.8977555
ENSRNOT00000071620,LOC100912852,2.62e-05,2.9403889
ENSRNOT00000074599,AABR06058583.1,7.979999999999999e-05,3.3914553999999995
NM_001108021,Klhl15,3.3600000000000004e-05,2.1107886000000002
ENSRNOT00000048127,LOC685700,0.028156449,2.3112037999999995
NM_001191618,Tspyl2,0.008077388000000001,2.2592186
ENSRNOT00000059403,Btn2a2,9.210000000000001e-08,3.062341
ENSRNOT00000072286,LOC680097,7.66e-06,2.8504132999999996
ENSRNOT00000075098,Btn2a2,4.34e-06,2.0052461
ENSRNOT00000075069,LOC684828,7.46e-06,3.9526286
NM_001106113,Hist1h1a,0.00032401099999999997,3.0726875
NM_001107352,Hist1h2bh,1.93e-06,2.5080907999999997
NM_001107354,Hist1h2an,0.000129834,2.3044222000000003
NM_012579,Hist1h1t,0.000508576,3.6473925000000005
NM_001000017,Olr1440,0.00013715,2.4397895
NM_001105811,Rilp,9.740000000000001e-07,3.1620942000000003
NM_001105812,Slc43a2,2.4e-06,2.9312787
NM_053580,Slc27a1,4.5700000000000003e-07,2.2324928
NM_001011919,Gtpbp3,2.85e-06,2.8086564999999997
NM_198134,Bst2,1.33e-07,10.7561365
NM_030840,Slc26a5,0.004479365999999999,2.2724319
NM_001191676,Ugt2b10,0.002588935,2.8269952999999997
NM_012643,Ret,0.004312776,4.846864
ENSRNOT00000042277,Rasgef1a,5.96e-06,2.6888825
ENSRNOT00000005908,Ccdc88c,6.65e-05,2.2463866
ENSRNOT00000071267,Ccdc88c,1.9e-05,3.6105642
ENSRNOT00000042656,AABR06108321.1,0.000439361,2.0792603
NM_053820,Ebf1,0.000299533,2.1295813999999997
ENSRNOT00000060583,RGD1565779,0.004069059,2.0253687
NM_001017932,Wdr55,2.72e-05,2.7752654
NM_021744,Cd14,1.26e-07,6.534065900000001
NM_013114,Selp,0.001631743,2.1584625
NM_138879,Sele,0.000150359,4.772467400000001
NM_019267,Bckdhb,1.54e-06,3.0736847000000003
NM_012589,Il6,9.2e-06,3.8778133
